,Unnamed: 0,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
5466,10634,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,spotify:track:7COXchtUOMd6uIT6HvmRaI,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,162583,4,2
5467,10636,Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,0.586,0.624,5,-5.946,1,0.113,0.0153,1.78e-06,0.133,0.267,68.976,spotify:track:6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/tracks/6lOWoTqVnAWXchddtTH31W,https://api.spotify.com/v1/audio-analysis/6lOWoTqVnAWXchddtTH31W,185863,4,2
5468,10637,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,190440,4,2
5469,10638,needy,1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.647,0.309,7,-7.948,0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,spotify:track:1TEL6MlSSVLSdhOSddidlJ,https://api.spotify.com/v1/tracks/1TEL6MlSSVLSdhOSddidlJ,https://api.spotify.com/v1/audio-analysis/1TEL6MlSSVLSdhOSddidlJ,171573,4,2
5470,10639,Please Me,0PG9fbaaHFHfre2gUVo7AN,Cardi B,4kYSro6naA4h99UJvo89HB,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4,2
5471,10641,Please Me,0PG9fbaaHFHfre2gUVo7AN,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4,2
5472,10643,Thotiana,3oh6SCCeLuXhFpEyepla6G,Blueface,3Fl1V19tmjt57oBdxXKAjJ,0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,spotify:track:3oh6SCCeLuXhFpEyepla6G,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,129264,4,2
5473,10644,Robbery,711MglQhnhOF3UAiAs9A59,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.669,0.683,2,-5.17,1,0.054,0.278,0.0,0.268,0.579,159.996,spotify:track:711MglQhnhOF3UAiAs9A59,https://api.spotify.com/v1/tracks/711MglQhnhOF3UAiAs9A59,https://api.spotify.com/v1/audio-analysis/711MglQhnhOF3UAiAs9A59,240437,4,1
5474,10645,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,spotify:track:63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,194520,4,2
5475,10647,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Migos,6oMuImdp5ZcFhWP0ESe6mG,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,spotify:track:63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,194520,4,2
5476,10649,Mitä sulle jää (feat. Ilta),2K7kTu0pI07RoWgwofGzSD,Pikku G,52k2KcEXIZTnYD2EpOoJiZ,0.609,0.691,5,-5.395,0,0.0539,0.0849,0.0,0.13,0.279,149.965,spotify:track:2K7kTu0pI07RoWgwofGzSD,https://api.spotify.com/v1/tracks/2K7kTu0pI07RoWgwofGzSD,https://api.spotify.com/v1/audio-analysis/2K7kTu0pI07RoWgwofGzSD,224287,4,1
5477,10651,Mitä sulle jää (feat. Ilta),2K7kTu0pI07RoWgwofGzSD,Ilta,7wpzJLl0ElNQwRRsALqUSd,0.609,0.691,5,-5.395,0,0.0539,0.0849,0.0,0.13,0.279,149.965,spotify:track:2K7kTu0pI07RoWgwofGzSD,https://api.spotify.com/v1/tracks/2K7kTu0pI07RoWgwofGzSD,https://api.spotify.com/v1/audio-analysis/2K7kTu0pI07RoWgwofGzSD,224287,4,1
